functional_cluster,work_category,scope_item,delivery_method,cost_component,unit_normalized,rate_group,candidate_count,candidate_sources,retained_workbook,retained_sheet,retained_row,retained_rate,decision_reason,mapping_confidence
Survey pegs and return levels,Preliminaries and Controls,Preliminaries and Controls,,Pre-start / Controls,site,Preliminaries,1,AARNet Pricebook.xlsx::AARnet Ratecard::r4 @ 2430.0,AARNet Pricebook.xlsx,AARnet Ratecard,4,2430,single candidate,Inferred
Temporary site fencing,Fencing and Access Control,Fencing and Gates,,Fence / Gate,m,Provisional Sums,3,VT_Rate Card_Generic for pricing Only.xlsx::Vic Track::r72 @ 257.89473684210526; Andersons Hill-NSWTA-Decon Costs Draft.xlsx::Variation Cost Schedule::r16 @ 22.64792307162362; Andersons Hill-NSWTA-Decon Costs Draft.xlsx::Variation Cost Schedule::r17 @ 15.0,VT_Rate Card_Generic for pricing Only.xlsx,Vic Track,72,257.8947368421053,"same function, normalized unit, same mapped delivery context; highest valid rate retained",Confirmed
Traffic management,Environmental and Traffic Overlays,Environmental / Traffic Overlay,,Overlay,cost plus,Overlays,1,VT_Rate Card_Generic for pricing Only.xlsx::Vic Track::r53 @ 1650.0,VT_Rate Card_Generic for pricing Only.xlsx,Vic Track,53,1650,single candidate,Confirmed
Traffic management,Environmental and Traffic Overlays,Environmental / Traffic Overlay,,Overlay,day,Overlays,2,Supplier RTQ Pricing Template Kirstie-AO.xlsx::RATE BASED WORKS::r434 @ 4721.052631578947; VT_Rate Card_Generic for pricing Only.xlsx::Vic Track::r282 @ 4105.263157894737,Supplier RTQ Pricing Template Kirstie-AO.xlsx,RATE BASED WORKS,434,4721.052631578947,"same function, normalized unit, same mapped delivery context; highest valid rate retained",Confirmed
Tree protection,Environmental and Traffic Overlays,Environmental / Traffic Overlay,,Overlay,each,Overlays,1,VT_Rate Card_Generic for pricing Only.xlsx::Vic Track::r76 @ 342.10526315789474,VT_Rate Card_Generic for pricing Only.xlsx,Vic Track,76,342.1052631578947,single candidate,Confirmed
Trenching | p100 | otr | additional,Earthworks and Reinstatement,Service Route Trenching,otr,Trenching,m,Provisional Sums,3,NBN quote Master .xlsx::Sheet1::r72 @ 19.09753846153846; Copy of Hazelwood North Amplitel Construction Quote Book 1 (004) 1.xlsx::ALL SORs::r75 @ 15.914615384615384; Copy of Hazelwood North Amplitel Construction Quote Book 1 (004) 1.xlsx::ALL SORs::r75 @ 15.116923076923078,NBN quote Master .xlsx,Sheet1,72,19.09753846153846,"same function, normalized unit, same mapped delivery context; highest valid rate retained",Confirmed
Trenching | p100 | otr | standard,Earthworks and Reinstatement,Service Route Trenching,otr,Trenching,m,Provisional Sums,3,NBN quote Master .xlsx::Sheet1::r71 @ 112.0; Copy of Hazelwood North Amplitel Construction Quote Book 1 (004) 1.xlsx::ALL SORs::r74 @ 47.36153846153846; Copy of Hazelwood North Amplitel Construction Quote Book 1 (004) 1.xlsx::ALL SORs::r74 @ 44.99230769230769,NBN quote Master .xlsx,Sheet1,71,112,"same function, normalized unit, same mapped delivery context; highest valid rate retained",Confirmed
Trenching | p100 | rock | standard,Earthworks and Reinstatement,Service Route Trenching,rock,Trenching,m,Provisional Sums,9,Supplier RTQ Pricing Template Kirstie-AO.xlsx::RATE BASED WORKS::r490 @ 782.8070175438596; Supplier RTQ Pricing Template Kirstie-AO.xlsx::RATE BASED WORKS::r484 @ 688.0147368421052; VT_Rate Card_Generic for pricing Only.xlsx::Vic Track::r332 @ 598.2736842105263; Supplier RTQ Pricing Template Kirstie-AO.xlsx::RATE BASED WORKS::r477 @ 382.95; VT_Rate Card_Generic for pricing Only.xlsx::Vic Track::r325 @ 333.0; Supplier RTQ Pricing Template Kirstie-AO.xlsx::RATE BASED WORKS::r467 @ 295.54999999999995; Supplier RTQ Pricing Template Kirstie-AO.xlsx::RATE BASED WORKS::r319 @ 284.8297213622291; VT_Rate Card_Generic for pricing Only.xlsx::Vic Track::r315 @ 257.0; VT_Rate Card_Generic for pricing Only.xlsx::Vic Track::r167 @ 247.6780185758514,Supplier RTQ Pricing Template Kirstie-AO.xlsx,RATE BASED WORKS,490,782.8070175438596,"same function, normalized unit, same mapped delivery context; highest valid rate retained",Confirmed
Trenching | p100 | shale | standard,Earthworks and Reinstatement,Service Route Trenching,shale,Trenching,m,Provisional Sums,9,Supplier RTQ Pricing Template Kirstie-AO.xlsx::RATE BASED WORKS::r489 @ 629.4736842105262; Supplier RTQ Pricing Template Kirstie-AO.xlsx::RATE BASED WORKS::r482 @ 410.55; VT_Rate Card_Generic for pricing Only.xlsx::Vic Track::r330 @ 357.0; Supplier RTQ Pricing Template Kirstie-AO.xlsx::RATE BASED WORKS::r476 @ 267.95; VT_Rate Card_Generic for pricing Only.xlsx::Vic Track::r324 @ 233.0; Supplier RTQ Pricing Template Kirstie-AO.xlsx::RATE BASED WORKS::r466 @ 212.75; VT_Rate Card_Generic for pricing Only.xlsx::Vic Track::r314 @ 185.0; Supplier RTQ Pricing Template Kirstie-AO.xlsx::RATE BASED WORKS::r308 @ 178.0185758513932; VT_Rate Card_Generic for pricing Only.xlsx::Vic Track::r156 @ 154.79876160990713,Supplier RTQ Pricing Template Kirstie-AO.xlsx,RATE BASED WORKS,489,629.4736842105262,"same function, normalized unit, same mapped delivery context; highest valid rate retained",Confirmed
Trenching | p100 | soil | standard,Earthworks and Reinstatement,Service Route Trenching,soil,Trenching,m,Provisional Sums,9,Supplier RTQ Pricing Template Kirstie-AO.xlsx::RATE BASED WORKS::r488 @ 484.2105263157895; Supplier RTQ Pricing Template Kirstie-AO.xlsx::RATE BASED WORKS::r481 @ 371.2280701754386; VT_Rate Card_Generic for pricing Only.xlsx::Vic Track::r329 @ 322.8070175438597; Supplier RTQ Pricing Template Kirstie-AO.xlsx::RATE BASED WORKS::r475 @ 244.95; VT_Rate Card_Generic for pricing Only.xlsx::Vic Track::r323 @ 213.0; Supplier RTQ Pricing Template Kirstie-AO.xlsx::RATE BASED WORKS::r465 @ 196.65; VT_Rate Card_Generic for pricing Only.xlsx::Vic Track::r313 @ 171.0; Supplier RTQ Pricing Template Kirstie-AO.xlsx::RATE BASED WORKS::r297 @ 142.41486068111456; VT_Rate Card_Generic for pricing Only.xlsx::Vic Track::r145 @ 123.8390092879257,Supplier RTQ Pricing Template Kirstie-AO.xlsx,RATE BASED WORKS,488,484.2105263157895,"same function, normalized unit, same mapped delivery context; highest valid rate retained",Confirmed
Trenching | p63 & p100 | rock | standard,Earthworks and Reinstatement,Service Route Trenching,rock,Trenching,m,Provisional Sums,1,VT_Rate Card_Generic for pricing Only.xlsx::Vic Track::r338 @ 680.7017543859649,VT_Rate Card_Generic for pricing Only.xlsx,Vic Track,338,680.7017543859649,single candidate,Confirmed
Trenching | p63 & p100 | shale | standard,Earthworks and Reinstatement,Service Route Trenching,shale,Trenching,m,Provisional Sums,1,VT_Rate Card_Generic for pricing Only.xlsx::Vic Track::r337 @ 547.3684210526316,VT_Rate Card_Generic for pricing Only.xlsx,Vic Track,337,547.3684210526316,single candidate,Confirmed
Trenching | p63 & p100 | soil | standard,Earthworks and Reinstatement,Service Route Trenching,soil,Trenching,m,Provisional Sums,1,VT_Rate Card_Generic for pricing Only.xlsx::Vic Track::r336 @ 421.0526315789474,VT_Rate Card_Generic for pricing Only.xlsx,Vic Track,336,421.0526315789474,single candidate,Confirmed
Trenching | p63 | rock | standard,Earthworks and Reinstatement,Service Route Trenching,rock,Trenching,m,Provisional Sums,6,Supplier RTQ Pricing Template Kirstie-AO.xlsx::RATE BASED WORKS::r470 @ 302.63157894736844; Supplier RTQ Pricing Template Kirstie-AO.xlsx::RATE BASED WORKS::r436 @ 293.98496240601503; Supplier RTQ Pricing Template Kirstie-AO.xlsx::RATE BASED WORKS::r517 @ 267.0278637770898; VT_Rate Card_Generic for pricing Only.xlsx::Vic Track::r318 @ 263.15789473684214; VT_Rate Card_Generic for pricing Only.xlsx::Vic Track::r284 @ 255.63909774436087; VT_Rate Card_Generic for pricing Only.xlsx::Vic Track::r364 @ 232.1981424148608,Supplier RTQ Pricing Template Kirstie-AO.xlsx,RATE BASED WORKS,470,302.6315789473684,"same function, normalized unit, same mapped delivery context; highest valid rate retained",Confirmed
Trenching | p63 | shale | standard,Earthworks and Reinstatement,Service Route Trenching,shale,Trenching,m,Provisional Sums,6,Supplier RTQ Pricing Template Kirstie-AO.xlsx::RATE BASED WORKS::r469 @ 236.9; VT_Rate Card_Generic for pricing Only.xlsx::Vic Track::r317 @ 206.0; Supplier RTQ Pricing Template Kirstie-AO.xlsx::RATE BASED WORKS::r426 @ 172.93233082706766; Supplier RTQ Pricing Template Kirstie-AO.xlsx::RATE BASED WORKS::r504 @ 160.21671826625388; VT_Rate Card_Generic for pricing Only.xlsx::Vic Track::r274 @ 150.37593984962407; VT_Rate Card_Generic for pricing Only.xlsx::Vic Track::r352 @ 139.31888544891643,Supplier RTQ Pricing Template Kirstie-AO.xlsx,RATE BASED WORKS,469,236.9,"same function, normalized unit, same mapped delivery context; highest valid rate retained",Confirmed
Trenching | p63 | soil | standard,Earthworks and Reinstatement,Service Route Trenching,soil,Trenching,m,Provisional Sums,6,Supplier RTQ Pricing Template Kirstie-AO.xlsx::RATE BASED WORKS::r468 @ 213.9; VT_Rate Card_Generic for pricing Only.xlsx::Vic Track::r316 @ 186.0; Supplier RTQ Pricing Template Kirstie-AO.xlsx::RATE BASED WORKS::r415 @ 138.34586466165413; Supplier RTQ Pricing Template Kirstie-AO.xlsx::RATE BASED WORKS::r494 @ 124.61300309597524; VT_Rate Card_Generic for pricing Only.xlsx::Vic Track::r263 @ 120.30075187969926; VT_Rate Card_Generic for pricing Only.xlsx::Vic Track::r342 @ 108.359133126935,Supplier RTQ Pricing Template Kirstie-AO.xlsx,RATE BASED WORKS,468,213.9,"same function, normalized unit, same mapped delivery context; highest valid rate retained",Confirmed
Underground feeder pit,Pits,Pit Works,,Pit Install / Supply,each,Provisional Sums,3,NBN quote Master .xlsx::Sheet1::r81 @ 2635.2; Copy of Hazelwood North Amplitel Construction Quote Book 1 (004) 1.xlsx::ALL SORs::r84 @ 2196.0; Copy of Hazelwood North Amplitel Construction Quote Book 1 (004) 1.xlsx::ALL SORs::r84 @ 2196.0,NBN quote Master .xlsx,Sheet1,81,2635.2,"same function, normalized unit, same mapped delivery context; highest valid rate retained",Inferred
Underground service search intrusive potholing,Proving and Brownfield Controls,Service Proving,,Proving / Locate,each,Specialist Subcontract,1,Andersons Hill-NSWTA-Decon Costs Draft.xlsx::Variation Cost Schedule::r13 @ 155.38,Andersons Hill-NSWTA-Decon Costs Draft.xlsx,Variation Cost Schedule,13,155.38,single candidate,Confirmed
Underground service search non-intrusive,Proving and Brownfield Controls,Service Proving,,Proving / Locate,site,Specialist Subcontract,1,Andersons Hill-NSWTA-Decon Costs Draft.xlsx::Variation Cost Schedule::r12 @ 1088.1944707555583,Andersons Hill-NSWTA-Decon Costs Draft.xlsx,Variation Cost Schedule,12,1088.194470755558,single candidate,Confirmed
Vehicular access gate install,Fencing and Access Control,Fencing and Gates,,Fence / Gate,each,Provisional Sums,1,VT_Rate Card_Generic for pricing Only.xlsx::Vic Track::r65 @ 4452.631578947368,VT_Rate Card_Generic for pricing Only.xlsx,Vic Track,65,4452.631578947368,single candidate,Confirmed
Waste bin / rubbish support,Preliminaries and Controls,Preliminaries and Controls,,Pre-start / Controls,site,Preliminaries,1,VT_Rate Card_Generic for pricing Only.xlsx::Vic Track::r9 @ 1457.8947368421054,VT_Rate Card_Generic for pricing Only.xlsx,Vic Track,9,1457.894736842105,single candidate,Confirmed
Weed matting / separator,Earthworks and Reinstatement,Earthworks Core,,Earthworks,m2,Materials,2,Supplier RTQ Pricing Template Kirstie-AO.xlsx::RATE BASED WORKS::r103 @ 119.53947368421052; VT_Rate Card_Generic for pricing Only.xlsx::Vic Track::r61 @ 103.94736842105264,Supplier RTQ Pricing Template Kirstie-AO.xlsx,RATE BASED WORKS,103,119.5394736842105,"same function, normalized unit, same mapped delivery context; highest valid rate retained",Inferred
daily generator hire - after hours - metro,Temporary Power and Generator Support,Generator Support,,Generator Support,,Plant,4,Generator Maryborough LCR Victrack Per Refuel 3-2026.xlsx::Sheet1::r17 @ 180.0; Generator Maryborough LCR Victrack Weekly Hire no fuel 3-2026.xlsx::Sheet1::r17 @ 180.0; Generator Maryborough LCR Victrack Per Refuel 3-2026.xlsx::Sheet1::r18 @ 99.0; Generator Maryborough LCR Victrack Weekly Hire no fuel 3-2026.xlsx::Sheet1::r18 @ 99.0,Generator Maryborough LCR Victrack Per Refuel 3-2026.xlsx,Sheet1,17,180,"same function, normalized unit, same mapped delivery context; highest valid rate retained",Confirmed
daily generator hire - after hours regional,Temporary Power and Generator Support,Generator Support,,Generator Support,,Plant,4,Generator Maryborough LCR Victrack Per Refuel 3-2026.xlsx::Sheet1::r33 @ 180.0; Generator Maryborough LCR Victrack Weekly Hire no fuel 3-2026.xlsx::Sheet1::r33 @ 180.0; Generator Maryborough LCR Victrack Per Refuel 3-2026.xlsx::Sheet1::r34 @ 99.0; Generator Maryborough LCR Victrack Weekly Hire no fuel 3-2026.xlsx::Sheet1::r34 @ 99.0,Generator Maryborough LCR Victrack Per Refuel 3-2026.xlsx,Sheet1,33,180,"same function, normalized unit, same mapped delivery context; highest valid rate retained",Confirmed
daily generator hire - business hours - metro,Temporary Power and Generator Support,Generator Support,,Generator Support,,Plant,4,Generator Maryborough LCR Victrack Per Refuel 3-2026.xlsx::Sheet1::r10 @ 180.0; Generator Maryborough LCR Victrack Weekly Hire no fuel 3-2026.xlsx::Sheet1::r10 @ 180.0; Generator Maryborough LCR Victrack Per Refuel 3-2026.xlsx::Sheet1::r11 @ 99.0; Generator Maryborough LCR Victrack Weekly Hire no fuel 3-2026.xlsx::Sheet1::r11 @ 99.0,Generator Maryborough LCR Victrack Per Refuel 3-2026.xlsx,Sheet1,10,180,"same function, normalized unit, same mapped delivery context; highest valid rate retained",Confirmed
daily generator hire - business hours - regional,Temporary Power and Generator Support,Generator Support,,Generator Support,,Plant,4,Generator Maryborough LCR Victrack Per Refuel 3-2026.xlsx::Sheet1::r25 @ 180.0; Generator Maryborough LCR Victrack Weekly Hire no fuel 3-2026.xlsx::Sheet1::r25 @ 180.0; Generator Maryborough LCR Victrack Per Refuel 3-2026.xlsx::Sheet1::r26 @ 99.0; Generator Maryborough LCR Victrack Weekly Hire no fuel 3-2026.xlsx::Sheet1::r26 @ 99.0,Generator Maryborough LCR Victrack Per Refuel 3-2026.xlsx,Sheet1,25,180,"same function, normalized unit, same mapped delivery context; highest valid rate retained",Confirmed
daily generator hire -after hours - metro,Temporary Power and Generator Support,Generator Support,,Generator Support,,Plant,2,Generator Maryborough LCR Victrack Per Refuel 3-2026.xlsx::Sheet1::r19 @ 757.5; Generator Maryborough LCR Victrack Weekly Hire no fuel 3-2026.xlsx::Sheet1::r19 @ 757.5,Generator Maryborough LCR Victrack Per Refuel 3-2026.xlsx,Sheet1,19,757.5,"same function, normalized unit, same mapped delivery context; highest valid rate retained",Confirmed
deployment cost after hours hours metro,Temporary Power and Generator Support,Generator Support,,Generator Support,,Plant,2,Generator Maryborough LCR Victrack Per Refuel 3-2026.xlsx::Sheet1::r14 @ 195.0; Generator Maryborough LCR Victrack Weekly Hire no fuel 3-2026.xlsx::Sheet1::r14 @ 195.0,Generator Maryborough LCR Victrack Per Refuel 3-2026.xlsx,Sheet1,14,195,"same function, normalized unit, same mapped delivery context; highest valid rate retained",Confirmed
deployment cost after hours regional,Temporary Power and Generator Support,Generator Support,,Generator Support,,Plant,2,Generator Maryborough LCR Victrack Per Refuel 3-2026.xlsx::Sheet1::r29 @ 195.0; Generator Maryborough LCR Victrack Weekly Hire no fuel 3-2026.xlsx::Sheet1::r29 @ 195.0,Generator Maryborough LCR Victrack Per Refuel 3-2026.xlsx,Sheet1,29,195,"same function, normalized unit, same mapped delivery context; highest valid rate retained",Confirmed
deployment cost business hours metro,Temporary Power and Generator Support,Generator Support,,Generator Support,,Plant,2,Generator Maryborough LCR Victrack Per Refuel 3-2026.xlsx::Sheet1::r7 @ 150.0; Generator Maryborough LCR Victrack Weekly Hire no fuel 3-2026.xlsx::Sheet1::r7 @ 150.0,Generator Maryborough LCR Victrack Per Refuel 3-2026.xlsx,Sheet1,7,150,"same function, normalized unit, same mapped delivery context; highest valid rate retained",Confirmed
deployment cost business hours regional,Temporary Power and Generator Support,Generator Support,,Generator Support,,Plant,2,Generator Maryborough LCR Victrack Per Refuel 3-2026.xlsx::Sheet1::r21 @ 150.0; Generator Maryborough LCR Victrack Weekly Hire no fuel 3-2026.xlsx::Sheet1::r21 @ 150.0,Generator Maryborough LCR Victrack Per Refuel 3-2026.xlsx,Sheet1,21,150,"same function, normalized unit, same mapped delivery context; highest valid rate retained",Confirmed
extra hours cost p/h,Temporary Power and Generator Support,Generator Support,,Generator Support,,Plant,8,Generator Maryborough LCR Victrack Per Refuel 3-2026.xlsx::Sheet1::r16 @ 195.0; Generator Maryborough LCR Victrack Per Refuel 3-2026.xlsx::Sheet1::r32 @ 195.0; Generator Maryborough LCR Victrack Weekly Hire no fuel 3-2026.xlsx::Sheet1::r32 @ 195.0; Generator Maryborough LCR Victrack Weekly Hire no fuel 3-2026.xlsx::Sheet1::r16 @ 195.0; Generator Maryborough LCR Victrack Per Refuel 3-2026.xlsx::Sheet1::r24 @ 130.0; Generator Maryborough LCR Victrack Per Refuel 3-2026.xlsx::Sheet1::r9 @ 130.0; Generator Maryborough LCR Victrack Weekly Hire no fuel 3-2026.xlsx::Sheet1::r9 @ 130.0; Generator Maryborough LCR Victrack Weekly Hire no fuel 3-2026.xlsx::Sheet1::r24 @ 130.0,Generator Maryborough LCR Victrack Per Refuel 3-2026.xlsx,Sheet1,16,195,"same function, normalized unit, same mapped delivery context; highest valid rate retained",Confirmed
fuel cost per litre,Temporary Power and Generator Support,Generator Support,,Generator Support,,Materials,2,Generator Maryborough LCR Victrack Per Refuel 3-2026.xlsx::Sheet1::r5 @ 3.65; Generator Maryborough LCR Victrack Weekly Hire no fuel 3-2026.xlsx::Sheet1::r5 @ 3.65,Generator Maryborough LCR Victrack Per Refuel 3-2026.xlsx,Sheet1,5,3.65,"same function, normalized unit, same mapped delivery context; highest valid rate retained",Confirmed
generator plug & transfer switch - install additional generator switch and socket on meter box. ref std-761,Temporary Power and Generator Support,Generator Support,,Generator Support,each,Plant,1,Andersons Hill-NSWTA-Decon Costs Draft.xlsx::Variation Cost Schedule::r262 @ 991.5832227747889,Andersons Hill-NSWTA-Decon Costs Draft.xlsx,Variation Cost Schedule,262,991.5832227747889,single candidate,Confirmed
generator plug & transfer switch,Temporary Power and Generator Support,Generator Support,,Generator Support,each,Plant,1,VT_Rate Card_Generic for pricing Only.xlsx::Vic Track::r320 @ 5789.473684210527,VT_Rate Card_Generic for pricing Only.xlsx,Vic Track,320,5789.473684210527,single candidate,Confirmed
minimum hours in deployment,Temporary Power and Generator Support,Generator Support,,Generator Support,,Plant,8,Generator Maryborough LCR Victrack Per Refuel 3-2026.xlsx::Sheet1::r8 @ nan; Generator Maryborough LCR Victrack Per Refuel 3-2026.xlsx::Sheet1::r15 @ nan; Generator Maryborough LCR Victrack Per Refuel 3-2026.xlsx::Sheet1::r22 @ nan; Generator Maryborough LCR Victrack Per Refuel 3-2026.xlsx::Sheet1::r30 @ nan; Generator Maryborough LCR Victrack Weekly Hire no fuel 3-2026.xlsx::Sheet1::r8 @ nan; Generator Maryborough LCR Victrack Weekly Hire no fuel 3-2026.xlsx::Sheet1::r15 @ nan; Generator Maryborough LCR Victrack Weekly Hire no fuel 3-2026.xlsx::Sheet1::r22 @ nan; Generator Maryborough LCR Victrack Weekly Hire no fuel 3-2026.xlsx::Sheet1::r30 @ nan,Generator Maryborough LCR Victrack Per Refuel 3-2026.xlsx,Sheet1,8,,"same function, normalized unit, same mapped delivery context; highest valid rate retained",Confirmed
mobilisation to site - outside 100km metro zone.,Temporary Power and Generator Support,Generator Support,,Generator Support,,Plant,4,Generator Maryborough LCR Victrack Per Refuel 3-2026.xlsx::Sheet1::r31 @ 4.77; Generator Maryborough LCR Victrack Weekly Hire no fuel 3-2026.xlsx::Sheet1::r31 @ 4.77; Generator Maryborough LCR Victrack Per Refuel 3-2026.xlsx::Sheet1::r23 @ 2.8; Generator Maryborough LCR Victrack Weekly Hire no fuel 3-2026.xlsx::Sheet1::r23 @ 2.8,Generator Maryborough LCR Victrack Per Refuel 3-2026.xlsx,Sheet1,31,4.77,"same function, normalized unit, same mapped delivery context; highest valid rate retained",Confirmed
weekly generator hire - after hours regional,Temporary Power and Generator Support,Generator Support,,Generator Support,,Plant,2,Generator Maryborough LCR Victrack Per Refuel 3-2026.xlsx::Sheet1::r35 @ 757.5; Generator Maryborough LCR Victrack Weekly Hire no fuel 3-2026.xlsx::Sheet1::r35 @ 757.5,Generator Maryborough LCR Victrack Per Refuel 3-2026.xlsx,Sheet1,35,757.5,"same function, normalized unit, same mapped delivery context; highest valid rate retained",Confirmed
weekly generator hire - business hours - metro,Temporary Power and Generator Support,Generator Support,,Generator Support,,Plant,2,Generator Maryborough LCR Victrack Per Refuel 3-2026.xlsx::Sheet1::r12 @ 725.0; Generator Maryborough LCR Victrack Weekly Hire no fuel 3-2026.xlsx::Sheet1::r12 @ 725.0,Generator Maryborough LCR Victrack Per Refuel 3-2026.xlsx,Sheet1,12,725,"same function, normalized unit, same mapped delivery context; highest valid rate retained",Confirmed
weekly generator hire - business hours - regional,Temporary Power and Generator Support,Generator Support,,Generator Support,,Plant,2,Generator Maryborough LCR Victrack Per Refuel 3-2026.xlsx::Sheet1::r27 @ 757.5; Generator Maryborough LCR Victrack Weekly Hire no fuel 3-2026.xlsx::Sheet1::r27 @ 757.5,Generator Maryborough LCR Victrack Per Refuel 3-2026.xlsx,Sheet1,27,757.5,"same function, normalized unit, same mapped delivery context; highest valid rate retained",Confirmed
